ID,Site,Source,Habit6,Family,Genus,Species,Sub species,Lat*,Long*,Age<20?,Type of system,Type of system,EcoRegion,MAT,MAR,Tree height (m),Stem diameter at 10 cm height (cm),Stem diameter at 30 cm height (cm),Stem diameter at 50 cm height (cm),Stem diameter at 130 cm height (cm),Total AGB (DW kg),Total BGB (DW kg)_Estimated value based on adjustments to consider stump biomass & root excavation volume 
943,Carter_Edmonds1,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-31.1,116.6,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",17.83,400.03,2.30,11.00,NA,NA,NA,18.61,4.75
944,Carter_Edmonds1,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-31.1,116.6,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",17.83,400.03,2.60,11.40,NA,NA,NA,19.83,5.55
945,Carter_Edmonds3,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-31.1,116.6,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",17.83,400.03,1.30,7.00,NA,NA,NA,2.42,1.46
946,Carter_Edmonds3,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-31.1,116.6,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",17.83,400.03,1.25,5.00,NA,NA,NA,2.29,0.71
947,Carter_Edmonds3,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-31.1,116.6,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",17.83,400.03,1.45,2.40,NA,NA,NA,0.34,0.08
948,Carter_Edmonds2,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-31.9,116.8,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",17.77,441.93,1.60,7.20,NA,NA,NA,3.09,0.72
949,Carter_Edmonds2,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-31.9,116.8,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",17.77,441.93,2.00,7.95,NA,NA,NA,10.90,2.70
950,Carter_Huxley1,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-30.8,117.7,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",18.59,322.94,1.83,8.10,NA,NA,NA,3.79,2.02
951,Carter_Huxley1,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-30.8,117.7,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",18.59,322.94,2.50,8.50,NA,NA,NA,12.34,2.73
952,Carter_Huxley2,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-30.8,117.7,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",18.63,319.71,0.90,0.90,NA,NA,NA,0.03,0.01
955,Carter_Huxley2,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-30.8,117.7,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",18.63,319.71,0.75,0.90,NA,NA,NA,0.02,0.01
956,Carter_Huxley2,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-30.8,117.7,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",18.63,319.71,0.65,0.70,NA,NA,NA,0.01,0.00
957,Carter_Lloyd,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-31.5,116.5,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",17.61,489.24,1.10,1.90,NA,NA,NA,0.16,0.02
958,Carter_Lloyd,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-31.5,116.5,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",17.61,489.24,1.54,3.30,NA,NA,NA,0.46,0.13
959,Carter_Jackson,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-31.5,116.4,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",18.16,538.72,2.74,9.10,NA,NA,NA,15.20,3.26
