"record_id","area","line","number_replicates","tag","x_coordinate","y_coordinate","species_code","species","family","map","dead","height_map","height_1978","height_1986","height_1992","height_1998","height_2006","height_2013","girth_map","girth_1978","girth_1986","girth_1992","girth_1996","girth_2006","girth_2013","index_1","index_2","index_3","index_4","absx","absy","comment"
71,"1","1",1,7121.8,8.5,3.7,235,"Connarus conchocarpus","Connaraceae",1986,2017,0.2,NA,NA,NA,NA,1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.7,61.5,"2006 laz from dead 1988, check sp. tag = Laz 1 beside 10506, 6159. sp = Carronia 2013."
74,"1","1",1,6159,8.7,3.9,235,"Connarus conchocarpus","Connaraceae",1988,2017,0.7,NA,NA,0.8,1.3,1.4,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.9,61.7,"chk sp. sp = Carronia 2013"
99,"1","1",1,2008.1,14.9,2,114,"Pseuduvaria mulgraveana glabrescens","Annonaceae",1967,2017,3.6,1.5,0.8,1.4,1,1.2,1.2,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,55,67.9,""
122,"1","1",1,7002.8,19.3,3.9,40,"Cryptocarya angulata","Lauraceae",1983,2017,0.7,NA,0.8,1.6,1.9,2,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.9,72.3,""
217,"1","1",1,5520,101.8,4,40,"Cryptocarya angulata","Lauraceae",1981,2017,0.7,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,92.8,"was dead 2006, lazzed 2013"
226,"1","1",1,7127.5,105,4.6,118,"Neolitsea dealbata","Lauraceae",1986,2017,0.2,NA,NA,0.5,0.5,0.5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.6,96,""
237,"1","1",1,2142.1,107.5,-0.1,34,"Castanospora alphandii","Sapindaceae",1971,2017,0.5,NA,0.9,1.6,0.9,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,52.9,98.5,""
433,"1","1",1,2074,147.5,-0.3,97,"Harpullia rhyticarpa","Sapindaceae",1965,2017,15,15,16,15,14.1,13.8,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.7,138.5,"Tag looks 20741 in 2006. Leaning 2013"
455,"1","1",1,2071,150.1,0.7,118,"Neolitsea dealbata","Lauraceae",1965,2017,0.9,1.4,1.4,2.2,1.6,2.6,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.7,141.1,"2 stems in 2006. broken & resprout in 2013"
503,"1","1",1,2086.1,163,3.1,193,"Glochidion harveyanum harveyanum","Phyllanthaceae",1969,2017,0.6,0.6,1.3,1.2,1.2,1.2,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.1,154,"no leaves in 2000"
