"record_id","area","line","number_replicates","tag","x_coordinate","y_coordinate","species_code","species","family","map","dead","height_map","height_1980","height_1986","height_1992","height_1998","height_2006","height_2013","girth_map","girth_1978","girth_1986","girth_1992","girth_1996","girth_2006","girth_2013","index_1","index_2","index_3","index_4","absx","absy","comment"
32,"2","1",1,2753,14,24.6,83,"Atractocarpus benthamiana","Rubiaceae",1963,2017,NA,NA,NA,NA,NA,NA,NA,14.1,14.5,14.9,14.5,14.5,16.5,16.1,NA,NA,NA,NA,339,190.6,"Leaning 2000; 2006 flat on ground, girth between 0ils, but should not count for area of wood at bh. Measured at tag, flat on ground in 2013. Decaying and dead 2017."
87,"2","1",1,3786,34.6,5.1,47,"Elattostachys nervosa","Sapindaceae",1965,2017,2.5,3.3,3.5,3.7,4.2,4.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359.6,171.1,"2013 under log"
112,"2","1",1,5317,40,7.3,22,"Cinnamomum virens","Lauraceae",1965,2017,3,3.1,4.1,3,3.1,1.6,2.2,NA,NA,NA,NA,NA,NA,NA,NA,"9",NA,NA,365,173.3,""
140,"2","1",1,2763,52,1,25,"Pittosporum multiflorum","Pittosporaceae",1963,2017,NA,NA,NA,NA,NA,NA,NA,5.7,5.7,5.7,4,4.8,3.9,3.9,"1",NA,NA,NA,377,167,"2 stems; 2006 other stem 3.0. Bent by tree fall, measured along trunk at 51"", 2nd stem dead in 2013. No second stem seen in 2017, plant dead"
141,"2","1",1,3791.1,52,1,47,"Elattostachys nervosa","Sapindaceae",1969,2017,2,1.7,NA,2.8,3.2,3.3,2.9,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,377,167,""
197,"2","1",1,7639,63.8,1.1,22,"Cinnamomum virens","Lauraceae",1963,2017,3,4,4.5,3.8,3.8,3.4,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388.8,167.1,"Top dead,noleaf98; 2006 retag basal resprouts 2 stems. Crushed under tree fall 2017"
235,"2","1",1,3795,75.9,3.3,59,"Guioa semiglauca","Sapindaceae",1965,2017,4,5,6.2,4.2,3.7,4.5,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400.9,169.3,"Bent, under vine in 94. no leaves in 2013"
277,"2","1",1,2771,82.6,6.2,31,"Cryptocarya triplinervis pubens","Lauraceae",1963,2017,NA,NA,NA,NA,NA,NA,NA,8.6,9.3,9.2,9.2,9.2,9.2,9.3,NA,NA,NA,NA,407.6,172.2,"fallen over and dead"
280,"2","1",1,5319,83.4,6.4,15,"Arytera distylis","Sapindaceae",1965,2017,6,6.1,6.3,5.3,4.6,3.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,"9",NA,NA,408.4,172.4,"Bent; 2006 top dead, bent by vine, resprouts. Basal resprout in 2013"
483,"2","1",1,7678,129.9,0.5,37,"Diploglottis australis","Sapindaceae",1963,2017,1.7,3.6,3.7,4.4,4.2,4.3,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454.9,166.5,"top dead resprout in 2013"
