Species,Genus,Size class,Damage,Notes,Reference
,Acacia,,0,"seems to be zero, by the fact that it just never appears in susceptibility tables; in this report about acacia https://www.agriculture.gov.au/sites/default/files/documents/environmental-risk-mitigation-plan-acacia.pdf several other pathogens were mentioned to affect Acacia, and myrtle rust was mentioned as an example of biological invasion but not as a pathogen of risk to acacia; also doesn't appear on the list here https://www.business.qld.gov.au/industries/farms-fishing-forestry/agriculture/biosecurity/plants/priority-pest-disease/myrtle-rust",
acmena smithii,Acmena,<1m,0.0323,branch dieback,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0188058
acmena smithii,Acmena,1 m - 4 m,0.1333,branch dieback,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0188058
acmena smithii,Acmena,4 m - 15 m,0.21,branch dieback,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0188058
,Acronychia,,,,
,Agonis,,,,
,Alangium,,,,
archirhodomyrtus beckleri,Archirhodomyrtus,<1m,0.9385,branch dieback,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0188058
archirhodomyrtus beckleri,Archirhodomyrtus,1 m - 4 m,0.9755,branch dieback,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0188058
archirhodomyrtus beckleri,Archirhodomyrtus,4 m - 15 m,0.9143,branch dieback,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0188058
baeckea linifolia,Baeckea,,0.11,11% leaf number reduction,mentioned in https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf
,Callistemon,,,,
spp,Corymbia,<1m,0,"generally marked as ""relatively tolerant""",https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf
Corymbia maculata,Corymbia,,0,not susceptible,https://link.springer.com/article/10.1007/s13313-011-0082-6/tables/1
decaspermum humile,Decaspermum,<1m,0.3333,branch dieback,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0188058
decaspermum humile,Decaspermum,1 m - 4 m,1,branch dieback,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0188058
decaspermum humile,Decaspermum,4 m - 15 m,1,branch dieback,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0188058
Eugenia reinwardtiana,Eugenia,,0.5,50% defoliation,mentioned in https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf
eugenia koolauensis,Eugenia,,0.7,Hawaii,mentioned in https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf  -- should check for proper citation
Eucalyptus grandis x Eucalyptus urophylla clone ,Eucalyptus,20 months of age...,0.89,"growth: the preventive rust treatment provided a higher average MAI (32 m_ ha_1 year_1), 89%, in relation to the control plot",https://onlinelibrary.wiley.com/doi/full/10.1111/efp.12736
Eucalyptus grandis x Eucalyptus urophylla clone ,Eucalyptus,5 yearsÉ,0.34,"growth: At 5 years of age, the preventive treatment increased the average annual growth (47 m_ ha_1 year_1) by 23% and 34% when compared to the curative treatment (38 m_ ha_1 year_1) and the control plot (35 m_ ha_1 year_1)",https://onlinelibrary.wiley.com/doi/full/10.1111/efp.12736
Eucalyptus grandis ,Eucalyptus,52 months of age,0.23,wood volume losses,https://www.sciencedirect.com/science/article/pii/S0378112719321759?via%3Dihub
E. globulus,Eucalyptus,,0,not susceptible,https://link.springer.com/article/10.1007/s13313-011-0082-6/tables/1
gossia hillii,Gossia,<1m,1,branch dieback,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0188058
gossia hillii,Gossia,1 m - 4 m,0.9687,branch dieback,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0188058
gossia hillii,Gossia,4 m - 15 m,1,branch dieback,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0188058
Leptospermum laevigatum,Leptospermum,,0.24,height reduction in seedlings? ,Mentioned in https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf
Lophostemon confertus,Lophostemon,<1m,0,not susceptible,Table 2 https://www.nzffa.org.nz/images/design/guava-rust.pdf
Melaleuca quinquenervia,Melaleuca,,0.45,"45% reduction in biomass when infected, ",mentioned in https://anpc.asn.au/wp-content/uploads/2019/02/Myrtle_Rust_reviewed_June_22_2018_web_ALL.pdf
Melaleuca squarrosa,Melaleuca,<1m,0,not susceptible,Table 2 https://www.nzffa.org.nz/images/design/guava-rust.pdf
