datasetTitle,siteName,parentSiteName,latitude_Degree,longitude_Degree,plotArea_SquareMetre,plotWidth_Metre,plotLength_Metre,plotShape,siteVisitName,siteVisitStartDate,siteVisitEndDate,featureType,featureId,scientificName,stratumType,mostDominantSpecies,mostDominantSpeciesResultTime,mostDominantSpeciesMethod,secondMostDominantSpecies,secondMostDominantSpeciesResultTime,secondMostDominantSpeciesMethod,thirdMostDominantSpecies,thirdMostDominantSpeciesResultTime,thirdMostDominantSpeciesMethod
TERN Surveillance Monitoring,WAACOO0006,NA,-31.5964,119.824,10000.0,100.0,100.0,square,20130723,2013-07-23T12:00:00,2013-07-24T09:24:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53438-stratum-ground,N/A,Ground stratum,Melaleuca pauperiflora subsp. fastigiata,2013-07-23T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Acacia enervia subsp. enervia,2013-07-23T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Grevillea acuaria,2013-07-23T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a
TERN Surveillance Monitoring,WAACOO0006,NA,-31.5964,119.824,10000.0,100.0,100.0,square,20130723,2013-07-23T12:00:00,2013-07-24T09:24:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53438-stratum-mid,N/A,Mid stratum,Melaleuca pauperiflora subsp. fastigiata,2013-07-23T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Acacia enervia subsp. enervia,2013-07-23T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Grevillea acuaria,2013-07-23T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a
TERN Surveillance Monitoring,WAACOO0006,NA,-31.5964,119.824,10000.0,100.0,100.0,square,20130723,2013-07-23T12:00:00,2013-07-24T09:24:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53438-stratum-upper,N/A,Upper stratum,Eucalyptus salubris,2013-07-23T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Eucalyptus moderata,2013-07-23T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,NA,NA,NA
TERN Surveillance Monitoring,WAACOO0011,NA,-31.2528,120.342,10000.0,100.0,100.0,square,20131004,2013-10-04T16:01:00,2013-10-04T16:01:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53439-stratum-ground,N/A,Ground stratum,Frankenia cinerea,2013-10-04T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Tecticornia sp.,2013-10-04T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,NA,NA,NA
TERN Surveillance Monitoring,WAACOO0011,NA,-31.2528,120.342,10000.0,100.0,100.0,square,20131004,2013-10-04T16:01:00,2013-10-04T16:01:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53439-stratum-mid,N/A,Mid stratum,Callitris columellaris,2013-10-04T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,NA,NA,NA,NA,NA,NA
TERN Surveillance Monitoring,WAACOO0011,NA,-31.2528,120.342,10000.0,100.0,100.0,square,20131004,2013-10-04T16:01:00,2013-10-04T16:01:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53439-stratum-upper,N/A,Upper stratum,Callitris columellaris,2013-10-04T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,NA,NA,NA,NA,NA,NA
TERN Surveillance Monitoring,WAACOO0007,NA,-31.6067,119.808,10000.0,100.0,100.0,square,20130823,2013-08-23T10:40:00,2013-08-23T10:40:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53440-stratum-ground,N/A,Ground stratum,Acacia hemiteles,2013-08-23T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Eremophila ionantha,2013-08-23T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Acacia sp. Narrow phyllode (B.R.Maslin 7831),2013-08-23T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a
TERN Surveillance Monitoring,WAACOO0007,NA,-31.6067,119.808,10000.0,100.0,100.0,square,20130823,2013-08-23T10:40:00,2013-08-23T10:40:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53440-stratum-mid,N/A,Mid stratum,Acacia hemiteles,2013-08-23T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Eremophila ionantha,2013-08-23T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Acacia sp. Narrow phyllode (B.R.Maslin 7831),2013-08-23T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a
TERN Surveillance Monitoring,WAACOO0007,NA,-31.6067,119.808,10000.0,100.0,100.0,square,20130823,2013-08-23T10:40:00,2013-08-23T10:40:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53440-stratum-upper,N/A,Upper stratum,Eucalyptus yilgarnensis,2013-08-23T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Eucalyptus loxophleba subsp. lissophloia,2013-08-23T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Eucalyptus yilgarnensis,2013-08-23T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a
TERN Surveillance Monitoring,WAACOO0010,NA,-31.2318,120.33,10000.0,100.0,100.0,square,20131015,2013-10-15T00:00:00,2013-10-15T00:00:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53441-stratum-ground,N/A,Ground stratum,Eriachne ovata,2013-10-15T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Aristida contorta,2013-10-15T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Stylidium dielsianum,2013-10-15T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a
