genus,species,Rain_600_mu,Rain_600_CI,Rain_800_mu,Rain_800_CI,Rain_1000_mu,Rain_1000_CI,Rain_1200_mu,Rain_1200_CI,Rain_1600_mu,Rain_1600_CI,Rain_2000_mu,Rain_2000_CI,Overall_mu,Overall_CI,n
Angophora,Angophora floribunda,,,0.54,0.28,0.21,0.23,0.14,0.15,0.76,0.3,,,0.39,0.24,347
Angophora,Angophora leiocarpa,0.49,0.19,0.21,0.12,0.18,0.15,0.23,0.1,0.1,0.13,0.02,0.05,0.24,0.13,1158
Corymbia,Corymbia citriodora,,,0.19,0.11,0.14,0.08,0.23,0.16,,,,,0.19,0.11,323
Corymbia,Corymbia citriodora,,,0.21,0.1,0.23,0.11,0.31,0.09,0.28,0.14,,,0.25,0.1,"18,493"
Corymbia,Corymbia intermedia,,,0.11,0.11,0.13,0.12,0.18,0.08,0.24,0.15,0.32,0.17,0.2,0.13,5887
Corymbia,Corymbia trachyphloia,0.31,0.18,0.17,0.09,0.14,0.16,0.18,0.12,0.16,0.09,0.23,0.1,0.18,0.12,2681
Eucalyptus,Eucalyptus acmenoides,,,0.15,0.13,0.13,0.09,0.27,0.1,0.29,0.1,0.42,0.26,0.27,0.13,9868
Eucalyptus,Eucalyptus biturbinata,,,0.23,0.19,0.19,0.1,0.28,0.11,0.21,0.12,0.18,0.18,0.23,0.13,1620
Eucalyptus,Eucalyptus cloeziana,,,0.24,0.07,,,0.36,0.09,0.52,0.15,,,0.36,0.1,1079
Eucalyptus,Eucalyptus crebra,0.18,0.08,0.16,0.06,0.18,0.06,0.22,0.1,0.16,0.08,,,0.17,0.07,"16,397"
Eucalyptus,Eucalyptus eugenioides,,,,,0.21,0.14,0.11,0.12,0.4,0.13,0.28,0.15,0.25,0.14,235
Eucalyptus,Eucalyptus exserta,0.11,0.06,0.09,0.13,0.1,0.08,0.29,0.08,,,,,0.19,0.09,671
Eucalyptus,Eucalyptus fibrosa,0.27,0.1,0.18,0.1,0.25,0.1,0.36,0.09,0.37,0.13,,,0.26,0.1,6231
Eucalyptus,Eucalyptus grandis,,,,,,,,,0.44,0.2,0.37,0.17,0.42,0.19,1030
Eucalyptus,Eucalyptus melanophloia,0.22,0.07,0.16,0.09,0.07,0.1,0.46,0.67,,,,,0.19,0.13,799
Eucalyptus,Eucalyptus microcorys,,,,,0.19,0.19,0.36,0.15,0.41,0.28,0.49,0.23,0.4,0.24,2239
Eucalyptus,Eucalyptus moluccana,,,0.25,0.15,0.26,0.09,0.36,0.17,,,,,0.28,0.14,2288
Eucalyptus,Eucalyptus pilularis,,,,,0.35,0.17,0.51,0.13,0.53,0.3,0.59,0.21,0.53,0.23,7265
Eucalyptus,Eucalyptus propinqua,,,0.2,0.1,0.21,0.12,0.27,0.12,0.24,0.15,0.34,0.31,0.26,0.15,2146
Eucalyptus,Eucalyptus saligna,,,,,0.12,0.05,0.33,0.12,0.38,0.29,,,0.33,0.16,563
Eucalyptus,Eucalyptus siderophloia,,,0.15,0.16,0.15,0.07,0.27,0.09,0.27,0.13,0.35,0.19,0.25,0.11,5504
Eucalyptus,Eucalyptus tereticornis,0.67,0.48,0.22,0.19,0.19,0.11,0.28,0.15,0.24,0.15,0.32,0.15,0.24,0.16,1003
