"model","ssp_scenario","threshold_val","sample_id","Damage"
"ACCESS-CM2","historical",0.2,1,751853138.008421
"CNRM-CM6-1-HR","historical",0.2,1,1009056617.07422
"MPI-ESM1-2-LR","historical",0.2,1,814005262.694334
"ACCESS-CM2","ssp126",0.2,1,760005379.023488
"CNRM-CM6-1-HR","ssp126",0.2,1,760004804.779411
"MPI-ESM1-2-LR","ssp126",0.2,1,850024328.995881
"ACCESS-CM2","ssp245",0.2,1,909634938.355301
"CNRM-CM6-1-HR","ssp245",0.2,1,722251957.653349
"MPI-ESM1-2-LR","ssp245",0.2,1,599960101.994387
"ACCESS-CM2","ssp370",0.2,1,652416876.960256
"CNRM-CM6-1-HR","ssp370",0.2,1,742891848.983241
"MPI-ESM1-2-LR","ssp370",0.2,1,542389183.870762
"ACCESS-CM2","historical",0.5,1,449897140.898252
"CNRM-CM6-1-HR","historical",0.5,1,571814717.991109
"MPI-ESM1-2-LR","historical",0.5,1,386546623.140831
"ACCESS-CM2","ssp126",0.5,1,350934032.52136
"CNRM-CM6-1-HR","ssp126",0.5,1,333746343.902867
"MPI-ESM1-2-LR","ssp126",0.5,1,450392398.749806
"ACCESS-CM2","ssp245",0.5,1,373892745.968956
"CNRM-CM6-1-HR","ssp245",0.5,1,291014028.384794
"MPI-ESM1-2-LR","ssp245",0.5,1,250930360.183908
"ACCESS-CM2","ssp370",0.5,1,417235328.854522
"CNRM-CM6-1-HR","ssp370",0.5,1,386816362.172432
"MPI-ESM1-2-LR","ssp370",0.5,1,230530470.832506
"ACCESS-CM2","historical",0.2,2,733753742.002144
"CNRM-CM6-1-HR","historical",0.2,2,984798318.279698
"MPI-ESM1-2-LR","historical",0.2,2,794364833.967421
"ACCESS-CM2","ssp126",0.2,2,741735348.756848
"CNRM-CM6-1-HR","ssp126",0.2,2,741731751.569927
"MPI-ESM1-2-LR","ssp126",0.2,2,829648098.972665
"ACCESS-CM2","ssp245",0.2,2,887680106.929407
"CNRM-CM6-1-HR","ssp245",0.2,2,704901691.953737
"MPI-ESM1-2-LR","ssp245",0.2,2,585589959.602332
"ACCESS-CM2","ssp370",0.2,2,636798785.476176
"CNRM-CM6-1-HR","ssp370",0.2,2,725059609.299607
"MPI-ESM1-2-LR","ssp370",0.2,2,529343424.386648
"ACCESS-CM2","historical",0.5,2,439080053.286855
"CNRM-CM6-1-HR","historical",0.5,2,558126308.02035
"MPI-ESM1-2-LR","historical",0.5,2,377220196.89392
"ACCESS-CM2","ssp126",0.5,2,342458373.902829
"CNRM-CM6-1-HR","ssp126",0.5,2,325733141.925008
"MPI-ESM1-2-LR","ssp126",0.5,2,439624220.210653
"ACCESS-CM2","ssp245",0.5,2,364890252.219425
"CNRM-CM6-1-HR","ssp245",0.5,2,284044318.945419
"MPI-ESM1-2-LR","ssp245",0.5,2,244882816.679614
"ACCESS-CM2","ssp370",0.5,2,407256237.865482
"CNRM-CM6-1-HR","ssp370",0.5,2,377574829.439839
"MPI-ESM1-2-LR","ssp370",0.5,2,224984821.460723
"ACCESS-CM2","historical",0.2,3,756336573.361171
"CNRM-CM6-1-HR","historical",0.2,3,1015032563.29417
"MPI-ESM1-2-LR","historical",0.2,3,818888072.895686
"ACCESS-CM2","ssp126",0.2,3,764524074.13024
"CNRM-CM6-1-HR","ssp126",0.2,3,764531243.531147
"MPI-ESM1-2-LR","ssp126",0.2,3,855030490.952806
"ACCESS-CM2","ssp245",0.2,3,915124925.77361
"CNRM-CM6-1-HR","ssp245",0.2,3,726532031.993516
"MPI-ESM1-2-LR","ssp245",0.2,3,603495924.723827
"ACCESS-CM2","ssp370",0.2,3,656279911.041686
"CNRM-CM6-1-HR","ssp370",0.2,3,747289918.376285
"MPI-ESM1-2-LR","ssp370",0.2,3,545639490.402906
"ACCESS-CM2","historical",0.5,3,452573954.551307
"CNRM-CM6-1-HR","historical",0.5,3,575182053.333441
"MPI-ESM1-2-LR","historical",0.5,3,388882158.44751
"ACCESS-CM2","ssp126",0.5,3,353072389.624459
"CNRM-CM6-1-HR","ssp126",0.5,3,335757394.819956
"MPI-ESM1-2-LR","ssp126",0.5,3,453047705.073138
"ACCESS-CM2","ssp245",0.5,3,376172320.679367
"CNRM-CM6-1-HR","ssp245",0.5,3,292754258.95019
"MPI-ESM1-2-LR","ssp245",0.5,3,252458031.149127
"ACCESS-CM2","ssp370",0.5,3,419721266.906225
"CNRM-CM6-1-HR","ssp370",0.5,3,389104407.371448
"MPI-ESM1-2-LR","ssp370",0.5,3,231945250.057761
"ACCESS-CM2","historical",0.2,4,648534150.050291
"CNRM-CM6-1-HR","historical",0.2,4,870306597.702413
"MPI-ESM1-2-LR","historical",0.2,4,702277374.215645
"ACCESS-CM2","ssp126",0.2,4,655492153.917798
"CNRM-CM6-1-HR","ssp126",0.2,4,655507841.485045
"MPI-ESM1-2-LR","ssp126",0.2,4,732975620.968849
"ACCESS-CM2","ssp245",0.2,4,784809859.11874
"CNRM-CM6-1-HR","ssp245",0.2,4,622898303.641075
"MPI-ESM1-2-LR","ssp245",0.2,4,517309307.89269
"ACCESS-CM2","ssp370",0.2,4,562520265.239247
"CNRM-CM6-1-HR","ssp370",0.2,4,640664614.222569
